ElectronEnergy_eV,FinalEfficiency_percent,Pressure_MPa,MagneticField_T,Energy_Field_Ratio,Pressure_Field_Index,Cluster
10.0,87.43823360567538,2.0,0.5,20.0,1.0,3
25.0,66.67776624705708,2.0,0.5,50.0,1.0,3
50.0,55.59879213899534,2.0,0.5,100.0,1.0,3
100.0,51.46776062575436,2.0,0.5,200.0,1.0,3
150.0,48.40994650722018,2.0,0.5,300.0,1.0,3
200.0,44.63529328786067,2.0,0.5,400.0,1.0,3
500.0,30.64794483605627,2.0,0.5,1000.0,1.0,2
750.0,24.29514308636473,2.0,0.5,1500.0,1.0,2
1000.0,20.215665993911728,2.0,0.5,2000.0,1.0,2
10.0,87.40308938077861,4.0,0.5,20.0,2.0,1
25.0,66.43803825762718,4.0,0.5,50.0,2.0,1
50.0,55.021201056079626,4.0,0.5,100.0,2.0,1
100.0,51.186615359100784,4.0,0.5,200.0,2.0,1
150.0,47.994622146412745,4.0,0.5,300.0,2.0,1
200.0,44.17749560615816,4.0,0.5,400.0,2.0,1
500.0,30.686630304509134,4.0,0.5,1000.0,2.0,2
750.0,24.24916940857478,4.0,0.5,1500.0,2.0,2
1000.0,20.223803099960907,4.0,0.5,2000.0,2.0,2
10.0,87.3794477320574,3.0,0.5,20.0,1.5,1
25.0,66.34032907853778,3.0,0.5,50.0,1.5,1
50.0,55.28855356267657,3.0,0.5,100.0,1.5,1
100.0,51.39833016762317,3.0,0.5,200.0,1.5,1
150.0,47.98783715039911,3.0,0.5,300.0,1.5,1
200.0,44.59816720392692,3.0,0.5,400.0,1.5,1
500.0,30.72304084522775,3.0,0.5,1000.0,1.5,2
750.0,24.26245115468407,3.0,0.5,1500.0,1.5,2
1000.0,20.21743318570121,3.0,0.5,2000.0,1.5,2
10.0,87.01658619969966,1.0,0.5,20.0,0.5,3
25.0,66.2799137201868,1.0,0.5,50.0,0.5,3
50.0,55.19091142325166,1.0,0.5,100.0,0.5,3
100.0,51.57926275403934,1.0,0.5,200.0,0.5,3
150.0,48.22291040425765,1.0,0.5,300.0,0.5,3
200.0,44.30344178166855,1.0,0.5,400.0,0.5,3
500.0,29.73734004317328,1.0,0.5,1000.0,0.5,2
750.0,22.42167723663023,1.0,0.5,1500.0,0.5,2
1000.0,17.72112113763404,1.0,0.5,2000.0,0.5,2
10.0,87.43823360567538,2.0,1.0,10.0,2.0,3
25.0,66.67776624705708,2.0,1.0,25.0,2.0,3
50.0,55.59879213899534,2.0,1.0,50.0,2.0,3
100.0,51.46776062575436,2.0,1.0,100.0,2.0,3
150.0,48.40994650722018,2.0,1.0,150.0,2.0,3
200.0,44.63529328786068,2.0,1.0,200.0,2.0,3
500.0,30.64794483605627,2.0,1.0,500.0,2.0,2
750.0,24.29514308636473,2.0,1.0,750.0,2.0,2
1000.0,20.215665993911728,2.0,1.0,1000.0,2.0,2
10.0,87.40308938077861,4.0,1.0,10.0,4.0,1
25.0,66.43803825762718,4.0,1.0,25.0,4.0,1
50.0,55.021201056079626,4.0,1.0,50.0,4.0,1
100.0,51.186615359100784,4.0,1.0,100.0,4.0,1
150.0,47.99462214641275,4.0,1.0,150.0,4.0,1
200.0,44.17749560615816,4.0,1.0,200.0,4.0,1
500.0,30.686630304509134,4.0,1.0,500.0,4.0,2
750.0,24.249169408574783,4.0,1.0,750.0,4.0,2
1000.0,20.223803099960907,4.0,1.0,1000.0,4.0,2
10.0,87.3794477320574,3.0,1.0,10.0,3.0,1
25.0,66.34032907853778,3.0,1.0,25.0,3.0,1
50.0,55.28855356267657,3.0,1.0,50.0,3.0,1
100.0,51.39833016762317,3.0,1.0,100.0,3.0,1
150.0,47.9878371503991,3.0,1.0,150.0,3.0,1
200.0,44.59816720392692,3.0,1.0,200.0,3.0,1
500.0,30.72304084522776,3.0,1.0,500.0,3.0,2
750.0,24.26245115468408,3.0,1.0,750.0,3.0,2
1000.0,20.21743318570121,3.0,1.0,1000.0,3.0,2
10.0,87.01658619969966,1.0,1.0,10.0,1.0,3
25.0,66.2799137201868,1.0,1.0,25.0,1.0,3
50.0,55.19091142325166,1.0,1.0,50.0,1.0,3
100.0,51.57926275403936,1.0,1.0,100.0,1.0,3
150.0,48.22291040425766,1.0,1.0,150.0,1.0,3
200.0,44.30344178166856,1.0,1.0,200.0,1.0,3
500.0,29.73734004317328,1.0,1.0,500.0,1.0,2
750.0,22.42167723663023,1.0,1.0,750.0,1.0,2
1000.0,17.721121137634036,1.0,1.0,1000.0,1.0,2
10.0,87.43823360567538,2.0,1.5,6.666666666666667,3.0,3
25.0,66.67776624705708,2.0,1.5,16.666666666666668,3.0,3
50.0,55.59879213899534,2.0,1.5,33.333333333333336,3.0,3
100.0,51.46776062575436,2.0,1.5,66.66666666666667,3.0,3
150.0,48.40994650722018,2.0,1.5,100.0,3.0,3
200.0,44.63529328786067,2.0,1.5,133.33333333333334,3.0,3
500.0,30.647944836056272,2.0,1.5,333.3333333333333,3.0,0
750.0,24.29514308636473,2.0,1.5,500.0,3.0,0
1000.0,20.21566599391173,2.0,1.5,666.6666666666666,3.0,0
10.0,87.40308938077861,4.0,1.5,6.666666666666667,6.0,1
25.0,66.43803825762718,4.0,1.5,16.666666666666668,6.0,1
50.0,55.021201056079626,4.0,1.5,33.333333333333336,6.0,1
100.0,51.186615359100784,4.0,1.5,66.66666666666667,6.0,1
150.0,47.99462214641275,4.0,1.5,100.0,6.0,1
200.0,44.17749560615816,4.0,1.5,133.33333333333334,6.0,1
500.0,30.686630304509137,4.0,1.5,333.3333333333333,6.0,0
750.0,24.249169408574783,4.0,1.5,500.0,6.0,0
1000.0,20.223803099960914,4.0,1.5,666.6666666666666,6.0,0
10.0,87.3794477320574,3.0,1.5,6.666666666666667,4.5,1
25.0,66.34032907853778,3.0,1.5,16.666666666666668,4.5,1
50.0,55.28855356267657,3.0,1.5,33.333333333333336,4.5,1
100.0,51.39833016762317,3.0,1.5,66.66666666666667,4.5,1
150.0,47.98783715039911,3.0,1.5,100.0,4.5,1
200.0,44.59816720392693,3.0,1.5,133.33333333333334,4.5,1
500.0,30.723040845227747,3.0,1.5,333.3333333333333,4.5,0
750.0,24.262451154684065,3.0,1.5,500.0,4.5,0
1000.0,20.217433185701207,3.0,1.5,666.6666666666666,4.5,0
10.0,87.01658619969966,1.0,1.5,6.666666666666667,1.5,3
25.0,66.2799137201868,1.0,1.5,16.666666666666668,1.5,3
50.0,55.19091142325166,1.0,1.5,33.333333333333336,1.5,3
100.0,51.57926275403934,1.0,1.5,66.66666666666667,1.5,3
150.0,48.22291040425765,1.0,1.5,100.0,1.5,3
200.0,44.30344178166855,1.0,1.5,133.33333333333334,1.5,3
500.0,29.73734004317328,1.0,1.5,333.3333333333333,1.5,0
750.0,22.42167723663023,1.0,1.5,500.0,1.5,0
1000.0,17.721121137634036,1.0,1.5,666.6666666666666,1.5,0
10.0,87.43823360567538,2.0,2.0,5.0,4.0,3
25.0,66.67776624705708,2.0,2.0,12.5,4.0,3
50.0,55.59879213899534,2.0,2.0,25.0,4.0,3
100.0,51.46776062575436,2.0,2.0,50.0,4.0,3
150.0,48.40994650722018,2.0,2.0,75.0,4.0,3
200.0,44.63529328786067,2.0,2.0,100.0,4.0,3
500.0,30.647944836056265,2.0,2.0,250.0,4.0,0
750.0,24.29514308636474,2.0,2.0,375.0,4.0,0
1000.0,20.21566599391173,2.0,2.0,500.0,4.0,0
10.0,87.40308938077861,4.0,2.0,5.0,8.0,1
25.0,66.43803825762718,4.0,2.0,12.5,8.0,1
50.0,55.021201056079626,4.0,2.0,25.0,8.0,1
100.0,51.186615359100784,4.0,2.0,50.0,8.0,1
150.0,47.994622146412745,4.0,2.0,75.0,8.0,1
200.0,44.17749560615816,4.0,2.0,100.0,8.0,1
500.0,30.686630304509134,4.0,2.0,250.0,8.0,0
750.0,24.24916940857478,4.0,2.0,375.0,8.0,0
1000.0,20.22380309996091,4.0,2.0,500.0,8.0,0
10.0,87.3794477320574,3.0,2.0,5.0,6.0,1
25.0,66.34032907853778,3.0,2.0,12.5,6.0,1
50.0,55.28855356267657,3.0,2.0,25.0,6.0,1
100.0,51.39833016762317,3.0,2.0,50.0,6.0,1
150.0,47.98783715039911,3.0,2.0,75.0,6.0,1
200.0,44.59816720392693,3.0,2.0,100.0,6.0,1
500.0,30.723040845227747,3.0,2.0,250.0,6.0,0
750.0,24.26245115468407,3.0,2.0,375.0,6.0,0
1000.0,20.217433185701207,3.0,2.0,500.0,6.0,0
10.0,87.01658619969966,1.0,2.0,5.0,2.0,3
25.0,66.2799137201868,1.0,2.0,12.5,2.0,3
50.0,55.19091142325166,1.0,2.0,25.0,2.0,3
100.0,51.57926275403935,1.0,2.0,50.0,2.0,3
150.0,48.22291040425765,1.0,2.0,75.0,2.0,3
200.0,44.30344178166856,1.0,2.0,100.0,2.0,3
500.0,29.73734004317328,1.0,2.0,250.0,2.0,0
750.0,22.42167723663023,1.0,2.0,375.0,2.0,0
1000.0,17.721121137634036,1.0,2.0,500.0,2.0,0
