ElectronEnergy,Pressure,MagneticField,Efficiency,FinalTemperature,Steps,ReachedTarget,AvgStepEfficiency,SimulationTime,HeatingRate
50.0,1.0e6,0.5,40.80231153336062,817.4327059980052,20,false,40.80231153336062,1.9999999999999998e-5,871635.2999002596
50.0,1.0e6,1.0,40.80231153336062,817.4327059980052,20,false,40.80231153336062,1.9999999999999998e-5,871635.2999002596
50.0,1.0e6,1.5,40.80231153336062,817.4327059980052,20,false,40.80231153336062,1.9999999999999998e-5,871635.2999002596
50.0,1.0e6,2.0,40.80231153336062,817.4327059980052,20,false,40.80231153336062,1.9999999999999998e-5,871635.2999002596
50.0,3.0e6,0.5,40.742331852844416,805.8023599331548,20,false,40.742331852844416,1.9999999999999998e-5,290117.9966577388
50.0,3.0e6,1.0,40.742331852844416,805.8023599331548,20,false,40.742331852844416,1.9999999999999998e-5,290117.9966577388
50.0,3.0e6,1.5,40.742331852844416,805.8023599331548,20,false,40.742331852844416,1.9999999999999998e-5,290117.9966577388
50.0,3.0e6,2.0,40.742331852844416,805.8023599331548,20,false,40.742331852844416,1.9999999999999998e-5,290117.9966577388
50.0,4.0e6,0.5,40.74233179571958,804.3517699437643,20,false,40.74233179571958,1.9999999999999998e-5,217588.49718821695
50.0,4.0e6,1.0,40.74233179571958,804.3517699437643,20,false,40.74233179571958,1.9999999999999998e-5,217588.49718821695
50.0,4.0e6,1.5,40.74233179571958,804.3517699437643,20,false,40.74233179571958,1.9999999999999998e-5,217588.49718821695
50.0,4.0e6,2.0,40.74233179571958,804.3517699437643,20,false,40.74233179571958,1.9999999999999998e-5,217588.49718821695
50.0,2.0e6,0.5,40.445795855261636,808.6401926937842,20,false,40.445795855261636,1.9999999999999998e-5,432009.6346892115
50.0,2.0e6,1.0,40.445795855261636,808.6401926937842,20,false,40.445795855261636,1.9999999999999998e-5,432009.6346892115
50.0,2.0e6,1.5,40.445795855261636,808.6401926937842,20,false,40.445795855261636,1.9999999999999998e-5,432009.6346892115
50.0,2.0e6,2.0,40.445795855261636,808.6401926937842,20,false,40.445795855261636,1.9999999999999998e-5,432009.6346892115
100.0,1.0e6,0.5,33.905799726457246,828.9723702430585,20,false,33.905799726457246,1.9999999999999998e-5,1.4486185121529275e6
100.0,1.0e6,1.0,33.905799726457246,828.9723702430585,20,false,33.905799726457246,1.9999999999999998e-5,1.4486185121529275e6
100.0,1.0e6,1.5,33.905799726457246,828.9723702430585,20,false,33.905799726457246,1.9999999999999998e-5,1.4486185121529275e6
100.0,1.0e6,2.0,33.905799726457246,828.9723702430585,20,false,33.905799726457246,1.9999999999999998e-5,1.4486185121529275e6
100.0,2.0e6,0.5,33.89260572423471,814.4805480104677,20,false,33.89260572423471,1.9999999999999998e-5,724027.4005233857
100.0,2.0e6,1.0,33.89260572423471,814.4805480104677,20,false,33.89260572423471,1.9999999999999998e-5,724027.4005233857
100.0,2.0e6,1.5,33.89260572423471,814.4805480104677,20,false,33.89260572423471,1.9999999999999998e-5,724027.4005233857
100.0,2.0e6,2.0,33.89260572423471,814.4805480104677,20,false,33.89260572423471,1.9999999999999998e-5,724027.4005233857
100.0,4.0e6,0.5,33.892605716957014,807.2402740036791,20,false,33.892605716957014,1.9999999999999998e-5,362013.70018395665
100.0,4.0e6,1.0,33.892605716957014,807.2402740036791,20,false,33.892605716957014,1.9999999999999998e-5,362013.70018395665
100.0,4.0e6,1.5,33.892605716957014,807.2402740036791,20,false,33.892605716957014,1.9999999999999998e-5,362013.70018395665
100.0,4.0e6,2.0,33.892605716957014,807.2402740036791,20,false,33.892605716957014,1.9999999999999998e-5,362013.70018395665
100.0,3.0e6,0.5,33.89260571695588,809.6536986715721,20,false,33.89260571695588,1.9999999999999998e-5,482684.9335786051
100.0,3.0e6,1.0,33.89260571695588,809.6536986715721,20,false,33.89260571695588,1.9999999999999998e-5,482684.9335786051
100.0,3.0e6,1.5,33.89260571695588,809.6536986715721,20,false,33.89260571695588,1.9999999999999998e-5,482684.9335786051
100.0,3.0e6,2.0,33.89260571695588,809.6536986715721,20,false,33.89260571695588,1.9999999999999998e-5,482684.9335786051
150.0,1.0e6,0.5,29.34465862154505,837.6123401202136,20,false,29.34465862154505,1.9999999999999998e-5,1.880617006010681e6
150.0,1.0e6,1.0,29.34465862154505,837.6123401202136,20,false,29.34465862154505,1.9999999999999998e-5,1.880617006010681e6
150.0,1.0e6,1.5,29.34465862154505,837.6123401202136,20,false,29.34465862154505,1.9999999999999998e-5,1.880617006010681e6
150.0,1.0e6,2.0,29.34465862154505,837.6123401202136,20,false,29.34465862154505,1.9999999999999998e-5,1.880617006010681e6
150.0,3.0e6,0.5,29.343482231348283,812.5369440963791,20,false,29.343482231348283,1.9999999999999998e-5,626847.2048189552
150.0,3.0e6,1.0,29.343482231348283,812.5369440963791,20,false,29.343482231348283,1.9999999999999998e-5,626847.2048189552
150.0,3.0e6,1.5,29.343482231348283,812.5369440963791,20,false,29.343482231348283,1.9999999999999998e-5,626847.2048189552
150.0,3.0e6,2.0,29.343482231348283,812.5369440963791,20,false,29.343482231348283,1.9999999999999998e-5,626847.2048189552
150.0,4.0e6,0.5,29.343482231348275,809.4027080722842,20,false,29.343482231348275,1.9999999999999998e-5,470135.40361421066
150.0,4.0e6,1.0,29.343482231348275,809.4027080722842,20,false,29.343482231348275,1.9999999999999998e-5,470135.40361421066
150.0,4.0e6,1.5,29.343482231348275,809.4027080722842,20,false,29.343482231348275,1.9999999999999998e-5,470135.40361421066
150.0,4.0e6,2.0,29.343482231348275,809.4027080722842,20,false,29.343482231348275,1.9999999999999998e-5,470135.40361421066
150.0,2.0e6,0.5,29.343482231348087,818.8054161445685,20,false,29.343482231348087,1.9999999999999998e-5,940270.807228427
150.0,2.0e6,1.0,29.343482231348087,818.8054161445685,20,false,29.343482231348087,1.9999999999999998e-5,940270.807228427
150.0,2.0e6,1.5,29.343482231348087,818.8054161445685,20,false,29.343482231348087,1.9999999999999998e-5,940270.807228427
150.0,2.0e6,2.0,29.343482231348087,818.8054161445685,20,false,29.343482231348087,1.9999999999999998e-5,940270.807228427
200.0,2.0e6,0.5,24.482868559602508,820.920513252706,20,false,24.482868559602508,1.9999999999999998e-5,1.0460256626352988e6
200.0,2.0e6,1.0,24.482868559602508,820.920513252706,20,false,24.482868559602508,1.9999999999999998e-5,1.0460256626352988e6
200.0,2.0e6,1.5,24.482868559602508,820.920513252706,20,false,24.482868559602508,1.9999999999999998e-5,1.0460256626352988e6
200.0,2.0e6,2.0,24.482868559602508,820.920513252706,20,false,24.482868559602508,1.9999999999999998e-5,1.0460256626352988e6
200.0,4.0e6,0.5,24.482868559602505,810.460256626353,20,false,24.482868559602505,1.9999999999999998e-5,523012.8313176522
200.0,4.0e6,1.0,24.482868559602505,810.460256626353,20,false,24.482868559602505,1.9999999999999998e-5,523012.8313176522
200.0,4.0e6,1.5,24.482868559602505,810.460256626353,20,false,24.482868559602505,1.9999999999999998e-5,523012.8313176522
200.0,4.0e6,2.0,24.482868559602505,810.460256626353,20,false,24.482868559602505,1.9999999999999998e-5,523012.8313176522
200.0,1.0e6,0.5,24.482868559602437,841.841026505412,20,false,24.482868559602437,1.9999999999999998e-5,2.0920513252705976e6
200.0,1.0e6,1.0,24.482868559602437,841.841026505412,20,false,24.482868559602437,1.9999999999999998e-5,2.0920513252705976e6
200.0,1.0e6,1.5,24.482868559602437,841.841026505412,20,false,24.482868559602437,1.9999999999999998e-5,2.0920513252705976e6
200.0,1.0e6,2.0,24.482868559602437,841.841026505412,20,false,24.482868559602437,1.9999999999999998e-5,2.0920513252705976e6
200.0,3.0e6,0.5,24.48286855960194,813.9470088351372,20,false,24.48286855960194,1.9999999999999998e-5,697350.4417568621
200.0,3.0e6,1.0,24.48286855960194,813.9470088351372,20,false,24.48286855960194,1.9999999999999998e-5,697350.4417568621
200.0,3.0e6,1.5,24.48286855960194,813.9470088351372,20,false,24.48286855960194,1.9999999999999998e-5,697350.4417568621
200.0,3.0e6,2.0,24.48286855960194,813.9470088351372,20,false,24.48286855960194,1.9999999999999998e-5,697350.4417568621
