x_mm,y_mm,temperature_K
0.0,0.0,800.0
0.0,5.000000000000001,800.0
0.0,10.000000000000002,800.0
0.0,15.0,800.0
0.0,20.000000000000004,800.0
0.0,25.0,800.0
0.0,30.0,800.0
0.0,34.99999999999999,800.0
0.0,40.00000000000001,800.0
0.0,45.00000000000001,800.0
0.0,50.0,800.0
0.0,55.00000000000001,800.0
0.0,60.0,800.0
0.0,65.0,800.0
0.0,69.99999999999999,800.0
0.0,75.00000000000001,800.0
0.0,80.00000000000001,800.0
0.0,85.0,800.0
0.0,90.00000000000001,800.0
0.0,95.0,800.0
5.000000000000001,0.0,800.0
5.000000000000001,5.000000000000001,800.0
5.000000000000001,10.000000000000002,800.0
5.000000000000001,15.0,800.0
5.000000000000001,20.000000000000004,800.0
5.000000000000001,25.0,800.0
5.000000000000001,30.0,800.0
5.000000000000001,34.99999999999999,800.0
5.000000000000001,40.00000000000001,800.0
5.000000000000001,45.00000000000001,800.0
5.000000000000001,50.0,800.0
5.000000000000001,55.00000000000001,800.0
5.000000000000001,60.0,800.0
5.000000000000001,65.0,800.0
5.000000000000001,69.99999999999999,800.0
5.000000000000001,75.00000000000001,800.0
5.000000000000001,80.00000000000001,800.0
5.000000000000001,85.0,800.0
5.000000000000001,90.00000000000001,800.0
5.000000000000001,95.0,800.0
10.000000000000002,0.0,800.0
10.000000000000002,5.000000000000001,800.0
10.000000000000002,10.000000000000002,800.0
10.000000000000002,15.0,800.0
10.000000000000002,20.000000000000004,800.0
10.000000000000002,25.0,800.0
10.000000000000002,30.0,800.0
10.000000000000002,34.99999999999999,800.0
10.000000000000002,40.00000000000001,800.0
10.000000000000002,45.00000000000001,800.0
10.000000000000002,50.0,800.0
10.000000000000002,55.00000000000001,800.0
10.000000000000002,60.0,800.0
10.000000000000002,65.0,800.0
10.000000000000002,69.99999999999999,800.0
10.000000000000002,75.00000000000001,800.0
10.000000000000002,80.00000000000001,800.0
10.000000000000002,85.0,800.0
10.000000000000002,90.00000000000001,800.0
10.000000000000002,95.0,800.0
15.0,0.0,800.0
15.0,5.000000000000001,800.0
15.0,10.000000000000002,800.0
15.0,15.0,800.0
15.0,20.000000000000004,800.0
15.0,25.0,800.0
15.0,30.0,800.0
15.0,34.99999999999999,800.0
15.0,40.00000000000001,800.0
15.0,45.00000000000001,800.0
15.0,50.0,800.0
15.0,55.00000000000001,800.0
15.0,60.0,800.0
15.0,65.0,800.0
15.0,69.99999999999999,800.0
15.0,75.00000000000001,800.0
15.0,80.00000000000001,800.0
15.0,85.0,800.0
15.0,90.00000000000001,800.0
15.0,95.0,800.0
20.000000000000004,0.0,800.0
20.000000000000004,5.000000000000001,800.0
20.000000000000004,10.000000000000002,800.0
20.000000000000004,15.0,800.0
20.000000000000004,20.000000000000004,800.0
20.000000000000004,25.0,800.0
20.000000000000004,30.0,800.0
20.000000000000004,34.99999999999999,800.0
20.000000000000004,40.00000000000001,800.0
20.000000000000004,45.00000000000001,800.0
20.000000000000004,50.0,800.0
20.000000000000004,55.00000000000001,800.0
20.000000000000004,60.0,800.0
20.000000000000004,65.0,800.0
20.000000000000004,69.99999999999999,800.0
20.000000000000004,75.00000000000001,800.0
20.000000000000004,80.00000000000001,800.0
20.000000000000004,85.0,800.0
20.000000000000004,90.00000000000001,800.0
20.000000000000004,95.0,800.0
25.0,0.0,800.0
25.0,5.000000000000001,800.0
25.0,10.000000000000002,800.0
25.0,15.0,800.0
25.0,20.000000000000004,800.0
25.0,25.0,800.0
25.0,30.0,800.0
25.0,34.99999999999999,800.0
25.0,40.00000000000001,800.0
25.0,45.00000000000001,800.0
25.0,50.0,800.0
25.0,55.00000000000001,800.0
25.0,60.0,800.0
25.0,65.0,800.0
25.0,69.99999999999999,800.0
25.0,75.00000000000001,800.0
25.0,80.00000000000001,800.0
25.0,85.0,800.0
25.0,90.00000000000001,800.0
25.0,95.0,800.0
30.0,0.0,800.0
30.0,5.000000000000001,800.0
30.0,10.000000000000002,800.0
30.0,15.0,800.0
30.0,20.000000000000004,800.0
30.0,25.0,800.0
30.0,30.0,800.0
30.0,34.99999999999999,800.0
30.0,40.00000000000001,800.0
30.0,45.00000000000001,800.0
30.0,50.0,800.0
30.0,55.00000000000001,800.0
30.0,60.0,800.0
30.0,65.0,800.0
30.0,69.99999999999999,800.0
30.0,75.00000000000001,800.0
30.0,80.00000000000001,800.0
30.0,85.0,800.0
30.0,90.00000000000001,800.0
30.0,95.0,800.0
34.99999999999999,0.0,800.0
34.99999999999999,5.000000000000001,800.0
34.99999999999999,10.000000000000002,800.0
34.99999999999999,15.0,800.0
34.99999999999999,20.000000000000004,800.0
34.99999999999999,25.0,800.0
34.99999999999999,30.0,800.0
34.99999999999999,34.99999999999999,800.0
34.99999999999999,40.00000000000001,800.0
34.99999999999999,45.00000000000001,800.0
34.99999999999999,50.0,800.0
34.99999999999999,55.00000000000001,800.0
34.99999999999999,60.0,800.0
34.99999999999999,65.0,800.0
34.99999999999999,69.99999999999999,800.0
34.99999999999999,75.00000000000001,800.0
34.99999999999999,80.00000000000001,800.0
34.99999999999999,85.0,800.0
34.99999999999999,90.00000000000001,800.0
34.99999999999999,95.0,800.0
40.00000000000001,0.0,800.0
40.00000000000001,5.000000000000001,800.0
40.00000000000001,10.000000000000002,800.0
40.00000000000001,15.0,800.0
40.00000000000001,20.000000000000004,800.0
40.00000000000001,25.0,800.0
40.00000000000001,30.0,800.0
40.00000000000001,34.99999999999999,800.0
40.00000000000001,40.00000000000001,800.0
40.00000000000001,45.00000000000001,800.0
40.00000000000001,50.0,800.0
40.00000000000001,55.00000000000001,800.0
40.00000000000001,60.0,800.0
40.00000000000001,65.0,800.0
40.00000000000001,69.99999999999999,800.0
40.00000000000001,75.00000000000001,800.0
40.00000000000001,80.00000000000001,800.0
40.00000000000001,85.0,800.0
40.00000000000001,90.00000000000001,800.0
40.00000000000001,95.0,800.0
45.00000000000001,0.0,800.0
45.00000000000001,5.000000000000001,800.0
45.00000000000001,10.000000000000002,800.0
45.00000000000001,15.0,800.0
45.00000000000001,20.000000000000004,800.0
45.00000000000001,25.0,800.0
45.00000000000001,30.0,800.0
45.00000000000001,34.99999999999999,800.0
45.00000000000001,40.00000000000001,800.0
45.00000000000001,45.00000000000001,800.0
45.00000000000001,50.0,800.0
45.00000000000001,55.00000000000001,800.0
45.00000000000001,60.0,800.0
45.00000000000001,65.0,800.0
45.00000000000001,69.99999999999999,800.0
45.00000000000001,75.00000000000001,800.0
45.00000000000001,80.00000000000001,800.0
45.00000000000001,85.0,800.0
45.00000000000001,90.00000000000001,800.0
45.00000000000001,95.0,800.0
50.0,0.0,800.0
50.0,5.000000000000001,800.0
50.0,10.000000000000002,800.0
50.0,15.0,800.0
50.0,20.000000000000004,800.0
50.0,25.0,800.0
50.0,30.0,800.0
50.0,34.99999999999999,800.0
50.0,40.00000000000001,800.0
50.0,45.00000000000001,800.0
50.0,50.0,800.0
50.0,55.00000000000001,800.0
50.0,60.0,800.0
50.0,65.0,800.0
50.0,69.99999999999999,800.0
50.0,75.00000000000001,800.0
50.0,80.00000000000001,800.0
50.0,85.0,800.0
50.0,90.00000000000001,800.0
50.0,95.0,800.0
55.00000000000001,0.0,800.0
55.00000000000001,5.000000000000001,800.0
55.00000000000001,10.000000000000002,800.0
55.00000000000001,15.0,800.0
55.00000000000001,20.000000000000004,800.0
55.00000000000001,25.0,800.0
55.00000000000001,30.0,800.0
55.00000000000001,34.99999999999999,800.0
55.00000000000001,40.00000000000001,800.0
55.00000000000001,45.00000000000001,800.0
55.00000000000001,50.0,800.0
55.00000000000001,55.00000000000001,800.0
55.00000000000001,60.0,800.0
55.00000000000001,65.0,800.0
55.00000000000001,69.99999999999999,800.0
55.00000000000001,75.00000000000001,800.0
55.00000000000001,80.00000000000001,800.0
55.00000000000001,85.0,800.0
55.00000000000001,90.00000000000001,800.0
55.00000000000001,95.0,800.0
60.0,0.0,800.0
60.0,5.000000000000001,800.0
60.0,10.000000000000002,800.0
60.0,15.0,800.0
60.0,20.000000000000004,800.0
60.0,25.0,800.0
60.0,30.0,800.0
60.0,34.99999999999999,800.0
60.0,40.00000000000001,800.0
60.0,45.00000000000001,800.0
60.0,50.0,800.0
60.0,55.00000000000001,800.0
60.0,60.0,800.0
60.0,65.0,800.0
60.0,69.99999999999999,800.0
60.0,75.00000000000001,800.0
60.0,80.00000000000001,800.0
60.0,85.0,800.0
60.0,90.00000000000001,800.0
60.0,95.0,800.0
65.0,0.0,800.0
65.0,5.000000000000001,800.0
65.0,10.000000000000002,800.0
65.0,15.0,800.0
65.0,20.000000000000004,800.0
65.0,25.0,800.0
65.0,30.0,800.0
65.0,34.99999999999999,800.0
65.0,40.00000000000001,800.0
65.0,45.00000000000001,800.0
65.0,50.0,800.0
65.0,55.00000000000001,800.0
65.0,60.0,800.0
65.0,65.0,800.0
65.0,69.99999999999999,800.0
65.0,75.00000000000001,800.0
65.0,80.00000000000001,800.0
65.0,85.0,800.0
65.0,90.00000000000001,800.0
65.0,95.0,800.0
69.99999999999999,0.0,800.0
69.99999999999999,5.000000000000001,800.0
69.99999999999999,10.000000000000002,800.0
69.99999999999999,15.0,800.0
69.99999999999999,20.000000000000004,800.0
69.99999999999999,25.0,800.0
69.99999999999999,30.0,800.0
69.99999999999999,34.99999999999999,800.0
69.99999999999999,40.00000000000001,800.0
69.99999999999999,45.00000000000001,800.0
69.99999999999999,50.0,800.0
69.99999999999999,55.00000000000001,800.0
69.99999999999999,60.0,800.0
69.99999999999999,65.0,800.0
69.99999999999999,69.99999999999999,800.0
69.99999999999999,75.00000000000001,800.0
69.99999999999999,80.00000000000001,800.0
69.99999999999999,85.0,800.0
69.99999999999999,90.00000000000001,800.0
69.99999999999999,95.0,800.0
75.00000000000001,0.0,800.0
75.00000000000001,5.000000000000001,800.0
75.00000000000001,10.000000000000002,800.0
75.00000000000001,15.0,800.0
75.00000000000001,20.000000000000004,800.0
75.00000000000001,25.0,800.0
75.00000000000001,30.0,800.0
75.00000000000001,34.99999999999999,800.0
75.00000000000001,40.00000000000001,800.0
75.00000000000001,45.00000000000001,800.0
75.00000000000001,50.0,800.0
75.00000000000001,55.00000000000001,800.0
75.00000000000001,60.0,800.0
75.00000000000001,65.0,800.0
75.00000000000001,69.99999999999999,800.0
75.00000000000001,75.00000000000001,800.0
75.00000000000001,80.00000000000001,800.0
75.00000000000001,85.0,800.0
75.00000000000001,90.00000000000001,800.0
75.00000000000001,95.0,800.0
80.00000000000001,0.0,800.0
80.00000000000001,5.000000000000001,800.0
80.00000000000001,10.000000000000002,800.0
80.00000000000001,15.0,800.0
80.00000000000001,20.000000000000004,800.0
80.00000000000001,25.0,800.0
80.00000000000001,30.0,800.0
80.00000000000001,34.99999999999999,800.0
80.00000000000001,40.00000000000001,800.0
80.00000000000001,45.00000000000001,800.0
80.00000000000001,50.0,800.0
80.00000000000001,55.00000000000001,800.0
80.00000000000001,60.0,800.0
80.00000000000001,65.0,800.0
80.00000000000001,69.99999999999999,800.0
80.00000000000001,75.00000000000001,800.0
80.00000000000001,80.00000000000001,800.0
80.00000000000001,85.0,800.0
80.00000000000001,90.00000000000001,800.0
80.00000000000001,95.0,800.0
85.0,0.0,800.0
85.0,5.000000000000001,800.0
85.0,10.000000000000002,800.0
85.0,15.0,800.0
85.0,20.000000000000004,800.0
85.0,25.0,800.0
85.0,30.0,800.0
85.0,34.99999999999999,800.0
85.0,40.00000000000001,800.0
85.0,45.00000000000001,800.0
85.0,50.0,800.0
85.0,55.00000000000001,800.0
85.0,60.0,800.0
85.0,65.0,800.0
85.0,69.99999999999999,800.0
85.0,75.00000000000001,800.0
85.0,80.00000000000001,800.0
85.0,85.0,800.0
85.0,90.00000000000001,800.0
85.0,95.0,800.0
90.00000000000001,0.0,800.0
90.00000000000001,5.000000000000001,800.0
90.00000000000001,10.000000000000002,800.0
90.00000000000001,15.0,800.0
90.00000000000001,20.000000000000004,800.0
90.00000000000001,25.0,800.0
90.00000000000001,30.0,800.0
90.00000000000001,34.99999999999999,800.0
90.00000000000001,40.00000000000001,800.0
90.00000000000001,45.00000000000001,800.0
90.00000000000001,50.0,800.0
90.00000000000001,55.00000000000001,800.0
90.00000000000001,60.0,800.0
90.00000000000001,65.0,800.0
90.00000000000001,69.99999999999999,800.0
90.00000000000001,75.00000000000001,800.0
90.00000000000001,80.00000000000001,800.0
90.00000000000001,85.0,800.0
90.00000000000001,90.00000000000001,800.0
90.00000000000001,95.0,800.0
95.0,0.0,800.0
95.0,5.000000000000001,800.0
95.0,10.000000000000002,800.0
95.0,15.0,800.0
95.0,20.000000000000004,800.0
95.0,25.0,800.0
95.0,30.0,800.0
95.0,34.99999999999999,800.0
95.0,40.00000000000001,800.0
95.0,45.00000000000001,800.0
95.0,50.0,800.0
95.0,55.00000000000001,800.0
95.0,60.0,800.0
95.0,65.0,800.0
95.0,69.99999999999999,800.0
95.0,75.00000000000001,800.0
95.0,80.00000000000001,800.0
95.0,85.0,800.0
95.0,90.00000000000001,800.0
95.0,95.0,800.0
